2009	63	186
2010	68	229
2011	72	255
2012	76	281
2013	80	287
2014	84	294
2015	88	331
2016	92	368
2017	96	381
2018	102	395
#2019	110	360
#2020	121	325
2021	130	477
2022	140	628
#2023	150.769230769231	826.800838574424
#2024	162.366863905325	1088.53443736842

