data/AZ_Elgin_5_-2012 37.1
data/AZ_Bowie_23_SS-2012 36.3
data/AZ_Kingman_8_N-2012 40.4
data/AL_Muscle_Shoals_2_-2011 38.6
data/AL_Scottsboro_2_N-2009 34.6
data/AL_Guntersville_2_S-2010 37.2
data/AL_Valley_Head_1_SS-2009 33.7
data/AZ_Elgin_5_-2011 37.9
data/AL_Muscle_Shoals_2_-2009 34.9
data/AL_Valley_Head_1_SS-2011 34.5
data/AL_Russellville_4_SS-2010 35.6
data/AZ_Elgin_5_-2006 36.1
data/AL_Guntersville_2_S-2009 34.5
data/AZ_Elgin_5_-2009 35.2
data/AL_Valley_Head_1_SS-2007 37.4
data/AL_Muscle_Shoals_2_-2010 38.0
data/AL_Russellville_4_SS-2009 33.6
data/AL_Russellville_4_SS-2011 38.2
data/AR_Batesville_8_WN-2008 37.0
data/AL_Scottsboro_2_N-2007 38.6
data/AR_Batesville_8_WN-2009 35.9
data/AZ_Camp_Verde_3_-2012 40.9
data/AL_Talladega_10_NN-2010 37.0
data/AR_Batesville_8_WN-2010 39.3
data/AZ_Tsaile_1_SS-2012 33.4
data/AL_Muscle_Shoals_2_-2008 37.2
data/AZ_Amado_23_-2011 41.4
data/AL_Scottsboro_2_N-2008 36.4
data/AL_Valley_Head_1_SS-2008 34.0
data/AL_Talladega_10_NN-2011 36.6
data/AL_Russellville_4_SS-2008 35.5
data/AL_Guntersville_2_S-2008 35.8
data/AL_Selma_13_WN-2010 37.4
data/AZ_Amado_23_-2012 38.8
data/AL_Northport_2_-2010 38.7
data/AL_Guntersville_2_S-2007 38.1
data/AL_Talladega_10_NN-2009 34.8
data/AL_Selma_6_SS-2010 37.7
data/AL_Greensboro_2_WN-2010 36.3
data/AR_Batesville_8_WN-2012 41.8
data/AL_Selma_13_WN-2011 37.9
data/AL_Thomasville_2_-2010 38.6
data/AL_Selma_13_WN-2006 37.7
data/AL_Selma_13_WN-2009 35.5
data/AL_Selma_13_WN-2007 39.8
data/AL_Northport_2_-2011 38.2
data/AL_Greensboro_2_WN-2009 35.8
data/AL_Scottsboro_2_N-2012 37.9
data/AZ_Safford_5_NN-2012 41.8
data/AL_Selma_6_SS-2011 37.5
data/AL_Selma_6_SS-2009 36.7
data/CA_Santa_Barbara_11_-2011 28.0
data/AL_Valley_Head_1_SS-2012 37.0
data/AL_Greensboro_2_WN-2011 37.2
data/AL_Highland_Home_2_-2010 38.5
data/AL_Selma_13_WN-2008 35.9
data/AL_Thomasville_2_-2011 36.2
data/AL_Troy_2_-2011 37.0
data/AZ_Meadview_7_-2012 42.6
data/AL_Thomasville_2_-2009 35.9
data/CA_Santa_Barbara_11_-2009 28.6
data/AL_Muscle_Shoals_2_-2012 39.8
data/AL_Troy_2_-2009 35.3
data/AZ_Coolidge_5_-2011 45.8
data/AL_Highland_Home_2_-2009 34.5
data/AL_Russellville_4_SS-2012 38.5
data/AL_Highland_Home_2_-2011 36.0
data/AZ_Phoenix_7_-2011 44.9
data/AL_Guntersville_2_S-2012 37.7
data/AL_Talladega_10_NN-2012 39.4
data/CA_Fallbrook_5_N-2011 39.0
data/AZ_Tucson_11_-2011 42.8
data/AZ_Coolidge_5_-2012 44.0
data/AZ_Tucson_11_-2010 41.4
data/AL_Selma_13_WN-2012 37.8
data/AZ_Tucson_11_-2007 42.3
data/AL_Northport_2_-2012 39.5
data/AZ_Gila_Bend_3_EN-2011 46.7
data/CA_Santa_Barbara_11_-2012 30.3
data/AL_Thomasville_2_-2012 36.5
data/CA_Fallbrook_5_N-2010 43.3
data/AZ_Tucson_11_-2004 40.7
data/AL_Selma_6_SS-2012 38.2
data/AZ_Ajo_29_-2011 43.8
data/CA_Fallbrook_5_N-2009 40.8
data/AZ_Tucson_11_-2009 41.0
data/AL_Troy_2_-2012 36.0
data/AZ_Lake_Havasu_City_19_S-2011 47.3
data/AZ_Phoenix_7_-2012 44.5
data/AZ_Tucson_11_-2006 42.5
data/AZ_Tucson_11_-2008 42.4
data/AZ_Ajo_29_-2012 42.9
data/CA_Fallbrook_5_N-2012 41.0
data/AZ_Yuma_27_EN-2011 44.9
data/AZ_Tucson_11_-2012 41.6
data/AL_Highland_Home_2_-2012 35.6
data/AZ_Tucson_11_-2005 42.9
data/AZ_Yuma_27_EN-2009 45.4
data/AZ_Gila_Bend_3_EN-2012 45.0
data/CA_Stovepipe_Wells_1_S-2011 48.5
data/CA_Stovepipe_Wells_1_S-2007 51.7
data/CA_Stovepipe_Wells_1_S-2009 50.2
data/AZ_Yuma_27_EN-2010 44.2
data/CA_Stovepipe_Wells_1_S-2006 50.6
data/AZ_Yuma_27_EN-2012 45.0
data/CA_Stovepipe_Wells_1_S-2010 49.9
data/AZ_Lake_Havasu_City_19_S-2012 47.0
data/CA_Stovepipe_Wells_1_S-2008 50.2
data/CA_Stovepipe_Wells_1_S-2012 50.4
data/HI_Mauna_Loa_5_NN-2011 18.8
data/HI_Mauna_Loa_5_NN-2008 17.8
data/HI_Mauna_Loa_5_NN-2007 18.4
data/HI_Mauna_Loa_5_NN-2009 17.7
data/HI_Mauna_Loa_5_NN-2006 19.0
data/HI_Mauna_Loa_5_NN-2012 17.3
data/HI_Mauna_Loa_5_NN-2010 19.2
data/CA_Yosemite_Village_12_-2011 25.6
data/ID_Murphy_10_-2005 37.7
data/ID_Murphy_10_-2006 37.5
data/ID_Murphy_10_-2004 36.5
data/CA_Yosemite_Village_12_-2012 29.2
data/ID_Murphy_10_-2008 36.1
data/CO_Cortez_8_S-2006 31.6
data/ID_Murphy_10_-2007 37.1
data/ID_Murphy_10_-2009 36.2
data/CO_Dinosaur_2_-2005 37.6
data/CO_Grand_Junction_9_-2011 35.1
data/CO_Boulder_14_-2004 22.5
data/CO_Boulder_14_-2009 23.8
data/CO_Montrose_11_EN-2005 30.7
data/CO_Cortez_8_S-2011 30.0
data/CO_Colorado_Springs_23_N-2011 29.4
data/CO_Nunn_7_NN-2005 38.2
data/CO_Nunn_7_NN-2004 35.6
data/CO_Boulder_14_-2005 25.8
data/IA_Des_Moines_17_-2006 37.1
data/CO_Nunn_7_NN-2010 35.1
data/CO_Cortez_8_S-2009 30.6
data/CO_Boulder_14_-2012 25.2
data/CO_Grand_Junction_9_-2010 36.6
data/CO_Nunn_7_NN-2009 33.8
data/CO_Dinosaur_2_-2006 36.5
data/CO_Nunn_7_NN-2006 37.4
data/CO_Nunn_7_NN-2011 35.7
data/CO_Cortez_8_S-2007 31.5
data/CO_Colorado_Springs_23_N-2012 32.5
data/CO_Akron_A_4_-2010 37.0
data/CO_Montrose_11_EN-2009 28.4
data/CO_Buena_Vista_2_SS-2011 30.6
data/CO_Kim_9_WS-2012 36.8
data/CO_Cortez_8_S-2012 31.1
data/CO_Rifle_23_N-2011 29.5
data/CO_Buena_Vista_2_SS-2012 32.0
data/CO_Montrose_11_EN-2006 28.1
data/CO_Stratton_24_-2010 36.8
data/CO_Boulder_14_-2006 24.1
data/CO_Grand_Junction_9_-2012 35.7
data/CO_Akron_A_4_-2011 37.1
data/CO_Boulder_14_-2010 23.3
data/CO_Boulder_14_-2007 24.1
data/CO_Cortez_8_S-2010 31.2
data/CO_Springfield_6_WS-2012 39.6
data/ID_Arco_17_S-2005 33.6
