3639, 0.0074, 0.0074, 0.6, 0.000915, 0.000163
7239, 0.1645, 0.3234, 2.1, 0.000909, 0.000161
10839, 0.3227, 0.6407, 4.3, 0.000907, 0.000159
14400, 0.4808, 0.9620, 7.5, 0.000906, 0.000159
18036, 0.3863, 0.0122, 8.0, 0.000906, 0.000156
21636, 0.3230, 0.0060, 8.6, 0.000906, 0.000154
25236, 0.2778, 0.0060, 9.1, 0.000906, 0.000153
28836, 0.2439, 0.0060, 9.7, 0.000906, 0.000151
32436, 0.2175, 0.0060, 10.2, 0.000906, 0.000150
36036, 0.1964, 0.0060, 10.7, 0.000906, 0.000149
39635, 0.1791, 0.0060, 11.3, 0.000905, 0.000149
43235, 0.1647, 0.0060, 11.8, 0.000905, 0.000147
46835, 0.1525, 0.0060, 12.3, 0.000905, 0.000147
50434, 0.1420, 0.0060, 12.8, 0.000905, 0.000146
54034, 0.1330, 0.0060, 13.3, 0.000905, 0.000146
57634, 0.1250, 0.0060, 13.8, 0.000905, 0.000145
61234, 0.1180, 0.0060, 14.3, 0.000905, 0.000144
64833, 0.1118, 0.0060, 14.9, 0.000905, 0.000144
68433, 0.1062, 0.0060, 15.4, 0.000905, 0.000145
72033, 0.1012, 0.0060, 16.0, 0.000905, 0.000145
75697, 0.1114, 0.3120, 17.5, 0.000906, 0.000146
79296, 0.1154, 0.1983, 18.6, 0.000907, 0.000147
82896, 0.1190, 0.1983, 19.7, 0.000908, 0.000147
86496, 0.1223, 0.1983, 20.9, 0.000908, 0.000148
90095, 0.1253, 0.1983, 22.0, 0.000909, 0.000149
93695, 0.1281, 0.1983, 23.1, 0.000909, 0.000149
97295, 0.1307, 0.1983, 24.2, 0.000909, 0.000149
100894, 0.1331, 0.1983, 25.3, 0.000909, 0.000149
104494, 0.1354, 0.1983, 26.4, 0.000908, 0.000149
108094, 0.1375, 0.1983, 27.4, 0.000908, 0.000149
111694, 0.1394, 0.1983, 28.5, 0.000907, 0.000149
115294, 0.1413, 0.1983, 29.5, 0.000907, 0.000149
