3639, 0.0074, 0.0074, 0.6, 0.000915, 0.000163
7238, 0.1645, 0.3234, 2.1, 0.000909, 0.000161
10838, 0.3227, 0.6407, 4.3, 0.000907, 0.000159
14400, 0.4808, 0.9619, 7.5, 0.000906, 0.000159
18036, 0.3863, 0.0121, 8.0, 0.000906, 0.000156
21636, 0.3230, 0.0060, 8.6, 0.000906, 0.000154
25236, 0.2778, 0.0060, 9.1, 0.000906, 0.000153
28835, 0.2439, 0.0060, 9.7, 0.000906, 0.000151
32435, 0.2175, 0.0060, 10.2, 0.000906, 0.000150
36035, 0.1964, 0.0060, 10.7, 0.000906, 0.000149
39635, 0.1791, 0.0060, 11.3, 0.000905, 0.000149
43234, 0.1647, 0.0060, 11.8, 0.000905, 0.000147
46834, 0.1525, 0.0060, 12.3, 0.000905, 0.000147
50434, 0.1420, 0.0060, 12.8, 0.000905, 0.000146
54034, 0.1330, 0.0060, 13.3, 0.000905, 0.000146
57633, 0.1250, 0.0060, 13.8, 0.000905, 0.000145
61233, 0.1180, 0.0060, 14.3, 0.000905, 0.000144
64833, 0.1118, 0.0060, 14.9, 0.000905, 0.000144
68433, 0.1062, 0.0060, 15.4, 0.000905, 0.000145
72032, 0.1012, 0.0060, 16.0, 0.000905, 0.000145
75696, 0.1114, 0.3119, 17.5, 0.000906, 0.000146
79296, 0.1154, 0.1983, 18.6, 0.000907, 0.000147
82895, 0.1190, 0.1983, 19.7, 0.000908, 0.000147
86495, 0.1223, 0.1983, 20.9, 0.000908, 0.000148
90095, 0.1253, 0.1983, 22.0, 0.000909, 0.000149
93694, 0.1281, 0.1983, 23.1, 0.000909, 0.000149
97294, 0.1307, 0.1983, 24.2, 0.000909, 0.000149
100894, 0.1331, 0.1983, 25.3, 0.000909, 0.000149
104494, 0.1354, 0.1983, 26.4, 0.000908, 0.000149
108094, 0.1375, 0.1983, 27.4, 0.000908, 0.000149
111693, 0.1394, 0.1983, 28.5, 0.000907, 0.000149
115293, 0.1413, 0.1983, 29.5, 0.000907, 0.000149
118893, 0.1430, 0.1983, 30.6, 0.000906, 0.000149
122493, 0.1446, 0.1983, 31.7, 0.000906, 0.000149
126093, 0.1461, 0.1983, 32.7, 0.000906, 0.000149
129692, 0.1476, 0.1983, 33.8, 0.000905, 0.000149
133292, 0.1490, 0.1983, 34.8, 0.000905, 0.000148
136892, 0.1503, 0.1983, 35.8, 0.000904, 0.000148
140492, 0.1515, 0.1983, 36.8, 0.000904, 0.000148
144092, 0.1527, 0.1983, 37.9, 0.000903, 0.000148
147692, 0.1538, 0.1983, 38.9, 0.000903, 0.000147
151291, 0.1548, 0.1983, 40.0, 0.000902, 0.000147
154891, 0.1558, 0.1983, 41.0, 0.000902, 0.000147
158491, 0.1568, 0.1983, 42.2, 0.000903, 0.000148
162091, 0.1577, 0.1983, 43.3, 0.000903, 0.000148
165690, 0.1586, 0.1983, 44.4, 0.000903, 0.000148
169290, 0.1594, 0.1983, 45.5, 0.000904, 0.000149
172890, 0.1603, 0.1983, 46.7, 0.000904, 0.000149
176489, 0.1610, 0.1983, 47.8, 0.000904, 0.000149
180089, 0.1618, 0.1983, 48.9, 0.000904, 0.000149
183689, 0.1625, 0.1983, 50.0, 0.000905, 0.000149
187288, 0.1632, 0.1983, 51.1, 0.000905, 0.000150
190888, 0.1638, 0.1983, 52.2, 0.000905, 0.000150
194488, 0.1645, 0.1983, 53.3, 0.000905, 0.000150
198088, 0.1651, 0.1983, 54.3, 0.000904, 0.000150
201687, 0.1657, 0.1983, 55.4, 0.000904, 0.000150
205287, 0.1663, 0.1983, 56.5, 0.000904, 0.000150
208887, 0.1668, 0.1983, 57.5, 0.000904, 0.000150
212487, 0.1673, 0.1983, 58.6, 0.000904, 0.000150
